127.0.0.1 - - [23/Mar/2019:15:34:11 +0530] "GET / HTTP/1.1" 404 1074
0:0:0:0:0:0:0:1 - - [23/Mar/2019:15:34:12 +0530] "GET /spring-mvc-demo/ HTTP/1.1" 200 272
0:0:0:0:0:0:0:1 - - [23/Mar/2019:15:34:16 +0530] "GET /spring-mvc-demo/student/form HTTP/1.1" 200 1074
0:0:0:0:0:0:0:1 - - [23/Mar/2019:15:34:32 +0530] "POST /spring-mvc-demo/student/student-details HTTP/1.1" 404 1047
0:0:0:0:0:0:0:1 - - [23/Mar/2019:15:38:43 +0530] "GET /spring-mvc-demo/ HTTP/1.1" 200 279
0:0:0:0:0:0:0:1 - - [23/Mar/2019:15:38:47 +0530] "GET /spring-mvc-demo/student/form HTTP/1.1" 200 1074
0:0:0:0:0:0:0:1 - - [23/Mar/2019:15:39:01 +0530] "POST /spring-mvc-demo/student/details HTTP/1.1" 200 255
0:0:0:0:0:0:0:1 - - [23/Mar/2019:15:39:28 +0530] "POST /spring-mvc-demo/student/details HTTP/1.1" 200 251
0:0:0:0:0:0:0:1 - - [23/Mar/2019:19:00:42 +0530] "GET /spring-mvc-demo/ HTTP/1.1" 200 279
0:0:0:0:0:0:0:1 - - [23/Mar/2019:19:00:45 +0530] "GET /spring-mvc-demo/student/form HTTP/1.1" 200 1149
0:0:0:0:0:0:0:1 - - [23/Mar/2019:19:00:50 +0530] "POST /spring-mvc-demo/student/details HTTP/1.1" 200 1229
0:0:0:0:0:0:0:1 - - [23/Mar/2019:19:02:21 +0530] "POST /spring-mvc-demo/student/details HTTP/1.1" 200 1207
0:0:0:0:0:0:0:1 - - [23/Mar/2019:19:02:34 +0530] "GET /spring-mvc-demo/student/form HTTP/1.1" 200 1127
0:0:0:0:0:0:0:1 - - [23/Mar/2019:19:02:36 +0530] "POST /spring-mvc-demo/student/details HTTP/1.1" 200 1207
0:0:0:0:0:0:0:1 - - [23/Mar/2019:19:03:24 +0530] "POST /spring-mvc-demo/student/details HTTP/1.1" 200 255
0:0:0:0:0:0:0:1 - - [23/Mar/2019:19:36:39 +0530] "GET /spring-mvc-demo/ HTTP/1.1" 200 279
0:0:0:0:0:0:0:1 - - [23/Mar/2019:19:36:40 +0530] "GET /spring-mvc-demo/student/form HTTP/1.1" 200 1138
0:0:0:0:0:0:0:1 - - [23/Mar/2019:19:36:43 +0530] "POST /spring-mvc-demo/student/details HTTP/1.1" 200 1218
0:0:0:0:0:0:0:1 - - [23/Mar/2019:19:38:25 +0530] "GET /spring-mvc-demo/ HTTP/1.1" 200 279
0:0:0:0:0:0:0:1 - - [23/Mar/2019:19:38:26 +0530] "GET /spring-mvc-demo/ HTTP/1.1" 200 279
0:0:0:0:0:0:0:1 - - [23/Mar/2019:19:38:27 +0530] "GET /spring-mvc-demo/ HTTP/1.1" 200 279
0:0:0:0:0:0:0:1 - - [23/Mar/2019:19:38:29 +0530] "GET /spring-mvc-demo/student/form HTTP/1.1" 200 1128
0:0:0:0:0:0:0:1 - - [23/Mar/2019:19:38:32 +0530] "POST /spring-mvc-demo/student/details HTTP/1.1" 200 1208
